mode1,month,period,period2,dtrip,cod_bag,cod_min,hadd_bag,hadd_min
fh,4,7,7_fh,0,0,100,15,17
fh,4,8,8_fh,0,0,100,15,17
fh,5,9,9_fh,1102.0093,0,100,15,17
fh,5,10,10_fh,5486.7559,0,100,15,17
fh,6,11,11_fh,5354.2788,0,100,15,17
fh,6,12,12_fh,1760.24,0,100,15,17
fh,7,13,13_fh,3702.2202,0,100,15,17
fh,7,14,14_fh,13603.516,0,100,15,17
fh,8,15,15_fh,5241.3008,0,100,15,17
fh,8,16,16_fh,6607.9165,0,100,15,17
fh,9,17,17_fh,5419.749,1,21,15,17
fh,9,18,18_fh,5448.2188,1,21,15,17
fh,10,19,19_fh,294.43173,0,100,15,17
fh,10,20,20_fh,449.04092,0,100,15,17
pr,4,7,7_pr,24807.162,0,100,15,17
pr,5,9,9_pr,15296.933,0,100,15,17
pr,5,10,10_pr,14406.282,0,100,15,17
pr,6,11,11_pr,25195.137,0,100,15,17
pr,6,12,12_pr,22111.357,0,100,15,17
pr,7,13,13_pr,16608.504,0,100,15,17
pr,7,14,14_pr,37126.227,0,100,15,17
pr,8,15,15_pr,16028.416,0,100,15,17
pr,8,16,16_pr,13384.389,0,100,15,17
pr,9,17,17_pr,13822.286,0,100,15,17
pr,9,18,18_pr,23917.916,1,21,15,17
pr,10,19,19_pr,3558.6726,0,100,15,17
pr,11,21,21_pr,32024.188,0,100,15,17
