species,fitted_length,observed_prob,fitted_prob,prob_star
atlanticcod,4,.00039635159,9.5923815e-07,9.5923872e-07
atlanticcod,4.5,0,2.8777145e-06,4.4314670e-06
atlanticcod,5,0,2.8777145e-06,4.4314670e-06
atlanticcod,5.5,0,.000013429334,.00002068018
atlanticcod,6,.0012609141,.000032614098,.000050223294
atlanticcod,6.5,0,.00006714667,.0001034009
atlanticcod,7,5.0837584e-06,.00019760306,.00030429408
atlanticcod,7.5,0,.00028585296,.00044019238
atlanticcod,8,.0043657199,.00056019507,.0008626589
atlanticcod,8.5,0,.00093909417,.0014461355
atlanticcod,9,.0034292748,.001482023,.0022822057
atlanticcod,9.5,0,.0022446171,.0034565441
atlanticcod,10,.01739898,.0032921054,.0050695986
atlanticcod,10.5,0,.0046168133,.0071095503
atlanticcod,11,.0029760734,.0063894857,.0098393345
atlanticcod,11.5,0,.0084077222,.012947269
atlanticcod,12,.0122238,.010820206,.016662316
atlanticcod,12.5,0,.013465785,.020736312
atlanticcod,13,.024793575,.016327191,.025142664
atlanticcod,13.5,0,.019271094,.029676059
atlanticcod,14,.048614588,.022727231,.034998253
atlanticcod,14.5,0,.025755543,.039661631
atlanticcod,15,.05201095,.028799206,.044348642
atlanticcod,15.5,0,.031705696,.048824422
atlanticcod,16,.083222643,.034683175,.053409521
atlanticcod,16.5,0,.036745533,.056585398
atlanticcod,17,.08477959,.038721569,.059628349
atlanticcod,17.5,0,.04031774,.062086333
atlanticcod,18,.057005055,.041540768,.063969709
atlanticcod,18.5,0,.041584894,.064037658
atlanticcod,19,.076613382,.042034775,.064730443
atlanticcod,19.5,0,.041381534,.063724503
atlanticcod,20,.071395896,.040611267,.062538348
atlanticcod,20.5,0,.039156102,.060297497
atlanticcod,21,.079383239,.037903335,.0079390416
atlanticcod,21.5,0,.036059681,.0075528789
atlanticcod,22,.08356303,.033969503,.0071150805
atlanticcod,22.5,0,.031837113,.006668441
atlanticcod,23,.063829288,.029962763,.006275849
atlanticcod,23.5,0,.027181931,.00569339
atlanticcod,24,.076807909,.025085038,.0052541853
atlanticcod,24.5,0,.022995817,.004816588
atlanticcod,25,.047310423,.020644724,.0043241396
atlanticcod,25.5,0,.018457662,.0038660488
atlanticcod,26,.03256112,.016656211,.0034887257
atlanticcod,26.5,0,.014841333,.0031085906
atlanticcod,27,.01643572,.012922857,.0027067563
atlanticcod,27.5,0,.011540594,.0024172345
atlanticcod,28,.025120983,.0099520953,.0020845158
atlanticcod,28.5,0,.0088911783,.0018623014
atlanticcod,29,.0043129586,.0076010032,.0015920677
atlanticcod,29.5,0,.0064499173,.0013509671
atlanticcod,30,.0047270791,.005554948,.0011635113
atlanticcod,30.5,0,.0047760466,.0010003666
atlanticcod,31,.010492966,.0040259226,.00084324944
atlanticcod,31.5,0,.0034503797,.00072269916
atlanticcod,32,.0031299307,.0028968991,.00060676987
atlanticcod,32.5,0,.0023683591,.00049606455
atlanticcod,33,.0043611377,.0021266311,.0004454334
atlanticcod,33.5,0,.0016920961,.00035441792
atlanticcod,34,.0014893864,.0014244687,.00029836199
atlanticcod,34.5,0,.0011990478,.0002511465
atlanticcod,35,.0059466069,.00094580883,.00019810433
atlanticcod,35.5,0,.00080767856,.00016917227
atlanticcod,36,0,.00061774941,.00012939067
atlanticcod,36.5,0,.00053813256,.00011271453
atlanticcod,37,.00003635561,.00043837185,.000091819158
haddock,8.5,0,2.9332824e-07,2.9332821e-07
haddock,9,.00015298231,5.8665648e-07,3.9941537e-07
haddock,9.5,0,5.5732366e-06,3.7944460e-06
haddock,10,.00057268445,.000029626153,.000020170477
haddock,10.5,0,.00013317102,.000090667294
haddock,11,.0017457756,.00052975083,.00036067213
haddock,11.5,0,.001617412,.0011011882
haddock,12,.0094375508,.0044861622,.0030543294
haddock,12.5,0,.010423419,.0070966124
haddock,13,.027050074,.020843612,.014191029
haddock,13.5,0,.036793042,.025049934
haddock,14,.10114565,.057815291,.039362587
haddock,14.5,0,.080675535,.054926604
haddock,15,.26360807,.1012707,.068948485
haddock,15.5,0,.11500521,.078299396
haddock,16,.18942775,.1187953,.080879815
haddock,16.5,0,.11252981,.07661406
haddock,17,.23477529,.097538099,.1582264
haddock,17.5,0,.078887112,.12797076
haddock,18,.10215659,.058892392,.095535293
haddock,18.5,0,.041068006,.066620559
haddock,19,.03153827,.026676444,.043274555
haddock,19.5,0,.016315503,.026467025
haddock,20,.026896439,.0094269831,.015292461
haddock,20.5,0,.0052036433,.008441356
haddock,21,.0079279523,.0026622473,.0043187002
haddock,21.5,0,.0013152838,.0021336547
haddock,22,.0026122648,.00059750967,.00096928078
haddock,22.5,0,.00026692872,.00043301203
haddock,23,.00045317499,.00012143789,.00019699667
haddock,23.5,0,.00004341258,.000070423928
haddock,24,.000040703882,.000017893024,.000029026081
haddock,24.5,0,8.2131910e-06,.000013323446
haddock,25,.000065201544,2.6399543e-06,4.2825368e-06
haddock,25.5,0,2.9332824e-07,4.7583737e-07
haddock,26,0,1.4666413e-06,2.3791870e-06
